Key,en,es,ar
Coins,Coins,Monedas,عملات معدنية
Add Coin,Add Coin,Agregar moneda,إضافة عملة
Write Name,Write Name,Escribir nombre,اكتب الاسم
Title,Title,Título,عنوان
Write Title,Write Title,Escribir título,اكتب العنوان
Add,Add,Agregar,يضيف
Coin already exists,Coin already exists,Ya existe monedas,عملة موجودة بالفعل
Coin Added Successfully,Coin Added Successfully,Moneda agregada con éxito,وأضاف العملة بنجاح
Coin updated successfully!,Coin updated successfully!,¡Moneda actualizada con éxito!,تم تحديث العملة بنجاح!
Coin Deleted Successfully!,Coin Deleted Successfully!,¡Moneda eliminada con éxito!,تم حذف العملة بنجاح!
Coin status updated successfully!,Coin status updated successfully!,Estado de la moneda actualizado con éxito!,تم تحديث حالة العملة بنجاح!
Edit Coin,Edit Coin,Editar moneda,تحرير العملة
Cancel,Cancel,Cancelar,يلغي
delete,delete,borrar,يمسح
this Coin?,this Coin?,esta moneda?,هذه العملة؟
Networks,Networks,Redes,الشبكات
Add Network,Add Network,Agregar red,اضافة شبكة
Coin Name,Coin Name,Nombre de la moneda,اسم العملة
Arrival Time,Arrival Time,Hora de llegada,وقت الوصول
Write Arrival Time,Write Arrival Time,Escribir la hora de llegada,اكتب وقت الوصول
Write Description,Write Description,Escribir descripción,اكتب الوصف
Min,Min,Mínimo,دقيقة
this Network?,this Network?,esta red?,هذه الشبكة؟
The arrival time field is required.,The arrival time field is required.,Se requiere el campo de hora de llegada.,مطلوب حقل وقت الوصول.
The coin field is required.,The coin field is required.,Se requiere el campo de la moneda.,حقل العملة مطلوب.
Network already exists,Network already exists,La red ya existe,شبكة موجودة بالفعل
Network Added Successfully,Network Added Successfully,Red agregada con éxito,أضافت الشبكة بنجاح
The edit_coin field is required.,The edit_coin field is required.,Se requiere el campo edit_coin.,حقل EDIT_Coin مطلوب.
The edit_name field is required.,The edit_name field is required.,Se requiere el campo edit_name.,حقل EDIT_NAME مطلوب.
The edit_arrival_time field is required.,The edit_arrival_time field is required.,Se requiere el campo edit_arrival_time.,حقل edit_arrival_time مطلوب.
Network updated successfully!,Network updated successfully!,¡Network actualizada con éxito!,تم تحديث الشبكة بنجاح!
Network Deleted Successfully!,Network Deleted Successfully!,Network eliminada con éxito!,تم حذف الشبكة بنجاح!
Network status updated successfully!,Network status updated successfully!,Estado de la red actualizado correctamente!,تم تحديث حالة الشبكة بنجاح!
Symbol,Symbol,Símbolo,رمز
Type,Type,Tipo,يكتب
Rate,Rate,Tasa,معدل
Role,Role,Role,دور
Code,Code,Código,شفرة
The code field is required.,The code field is required.,Se requiere el campo de código.,حقل الكود مطلوب.
The symbol field is required.,The symbol field is required.,Se requiere el campo de símbolos.,حقل الرمز مطلوب.
The option field is required.,The option field is required.,Se requiere el campo de opción.,حقل الخيار مطلوب.
The rate field is required.,The rate field is required.,Se requiere el campo de tasa.,حقل السعر مطلوب.
The network field is required.,The network field is required.,Se requiere el campo de red.,حقل الشبكة مطلوب.
Default currency make failed! Please try again.,Default currency make failed! Please try again.,¡Falló la moneda predeterminada! Inténtalo de nuevo.,العملة الافتراضية تجعل فشل! حاول مرة اخرى.
Currency Saved Successfully!,Currency Saved Successfully!,¡Moneda ahorrada con éxito!,العملة المحفوظة بنجاح!
Currency record not found in our system.,Currency record not found in our system.,Registro de divisas no se encuentra en nuestro sistema.,سجل العملة غير موجود في نظامنا.
Currency status updated successfully!,Currency status updated successfully!,Estado de divisas actualizado con éxito!,تم تحديث حالة العملة بنجاح!
Currency not found!,Currency not found!,Moneda no encontrada!,العملة لم يتم العثور عليها!
The currency name field is required.,The currency name field is required.,Se requiere el campo Nombre de la moneda.,حقل اسم العملة مطلوب.
The currency code field is required.,The currency code field is required.,Se requiere el campo de código de divisas.,حقل رمز العملة مطلوب.
The currency symbol field is required.,The currency symbol field is required.,Se requiere el campo de símbolo de moneda.,مطلوب حقل رمز العملة.
The currency rate field is required.,The currency rate field is required.,Se requiere el campo de tasa de divisas.,حقل معدل العملة مطلوب.
The currrency option field is required.,The currrency option field is required.,Se requiere el campo de la opción Currrency.,مطلوب حقل خيار العملات.
Image file upload faild!,Image file upload faild!,Archivo de imagen Carga Faild!,ملف الصورة تحميل فشل!
Successfully updated the information.,Successfully updated the information.,Actualizó con éxito la información.,تم تحديث المعلومات بنجاح.
Can\'t deletable default currency.,Can\'t deletable default currency.,Puede \ 't Deletible Moneda predeterminada.,لا يمكن \ 't قابلة لحذف العملة الافتراضية.
Currency deleted successfully!,Currency deleted successfully!,¡Moneda eliminada con éxito!,تم حذف العملة بنجاح!
Search,Search,Buscar,يبحث
Flag,Flag,Bandera,علَم
Add Currency,Add Currency,Agregar moneda,أضف العملة
Edit Currency,Edit Currency,Editar moneda,تحرير العملة
currency?,currency?,¿divisa?,عملة؟
Withdraw Crypto Charges,Withdraw Crypto Charges,Retirar cargos criptográficos,سحب رسوم التشفير
Exchange Crypto Charges,Exchange Crypto Charges,Intercambiar cargos criptográficos,تبادل رسوم التشفير
Charges,Charges,Cargos,رسوم
Fixed Charge,Fixed Charge,Cargo fijo,تهمة ثابتة
Percent Charge,Percent Charge,Porcentaje de cargo,تكلفة في المئة
Range,Range,Rango,يتراوح
Minimum Amount,Minimum Amount,Monto minimo,الحد الأدنى للمبلغ
Maximum Amount,Maximum Amount,Cantidad máxima,الحد الأقصى للمبلغ
Transaction charge not found!,Transaction charge not found!,¡Cargo por transacción no encontrado!,شحنة المعاملة غير موجودة!
Charge Updated Successfully!,Charge Updated Successfully!,¡Cargo actualizado con éxito!,تم تحديث الرسوم بنجاح!
Outside Wallet Payment Receiving Address,Outside Wallet Payment Receiving Address,Dirección de recepción de pago de billetera exterior,عنوان استلام محفظة خارجية
Add Outside Wallet Address,Add Outside Wallet Address,Agregar dirección de billetera exterior,أضف عنوان المحفظة الخارجية
Currency Name,Currency Name,Nombre de moneda,اسم العملة
P. Address,P. Address,P. Dirección,P. العنوان
this Outside Wallet?,this Outside Wallet?,esta billetera exterior?,هذه المحفظة الخارجية؟
Option,Option,Opción,خيار
Outside Wallet Payment Receiving Address Create,Outside Wallet Payment Receiving Address Create,Dirección de recepción de pago de billetera exterior Crear,إنشاء عنوان محفظة خارج المحفظة إنشاء عنوان
Select Currency,Select Currency,Seleccione el tipo de moneda,اختر العملة
Public Address,Public Address,Direccion publica,عنوان عام
Instruction,Instruction,Instrucción,تعليمات
Field Necessity,Field Necessity,Necesidad de campo,ضرورة الحقل
Textarea,Textarea,Textea,Textarea
File,File,Archivo,ملف
Input Text,Input Text,Texto de entrada,أدخل نصآ
Field Name,Field Name,Nombre del campo,اسم الحقل
Data fetch successfully,Data fetch successfully,Los datos obtienen con éxito,جلب البيانات بنجاح
The currency field is required.,The currency field is required.,Se requiere el campo de divisas.,حقل العملة مطلوب.
The public address field is required.,The public address field is required.,Se requiere el campo de la dirección pública.,حقل العنوان العام مطلوب.
Outside Address already exists!,Outside Address already exists!,¡La dirección exterior ya existe!,العنوان الخارجي موجود بالفعل!
Outside wallet created successfully.,Outside wallet created successfully.,Fuera de la billetera creada con éxito.,خلق محفظة خارجية بنجاح.
Outside Wallet Payment Receiving Address Edit,Outside Wallet Payment Receiving Address Edit,Dirección de recepción de pago de la billetera exterior,تحرير عنوان الدفع الخارجي للمحفظة
Collect Data,Collect Data,Recolectar datos,اجمع بيانات
Field Types,Field Types,Tipos de campo,أنواع الحقل
Max File Size (mb),Max File Size (mb),Tamaño de archivo máximo (MB),حجم الملف الأقصى (MB)
File Extension,File Extension,Extensión de archivo,امتداد الملف
Min Character,Min Character,Carácter mínimo,شخصية دقيقة
Max Character,Max Character,Personaje máximo,الحد الأقصى للشخصية
Outside wallet Updated successfully.,Outside wallet Updated successfully.,Billetera exterior actualizada con éxito.,تم تحديث محفظة خارجية بنجاح.
Outside Wallet Deleted Successfully!,Outside Wallet Deleted Successfully!,¡Fuera de la billetera eliminada con éxito!,محفظة خارجية تم حذفها بنجاح!
Outside Wallet status updated successfully!,Outside Wallet status updated successfully!,Estado de la billetera exterior actualizado con éxito!,تم تحديث حالة المحفظة الخارجية بنجاح!
Required,Required,Requerido,مطلوب
Confirm Buy Crypto Logs,Confirm Buy Crypto Logs,Confirmar comprar registros de cifrado,تأكيد شراء سجلات التشفير
Pending Buy Crypto Logs,Pending Buy Crypto Logs,Pendiente comprar registros de cifrado,في انتظار شراء سجلات التشفير
All Buy Crypto Logs,All Buy Crypto Logs,Todos compran registros de cifrado,كل شراء سجلات التشفير
Rejected Buy Crypto Logs,Rejected Buy Crypto Logs,Rechazados Comprar registros de cifrado,رفض شراء سجلات التشفير
Buy Crypto Log Details,Buy Crypto Log Details,Comprar detalles de registro de cifrado,شراء تفاصيل سجل التشفير
Sender Information,Sender Information,Información del remitente,معلومات المرسل
Wallet Name,Wallet Name,Nombre de billetera,اسم المحفظة
IP,IP,IP,IP
Browser,Browser,Navegador,متصفح
OS,OS,Sistema operativo,نظام التشغيل
TimeZone,TimeZone,Zona horaria,وحدة زمنية
Transaction Device Information,Transaction Device Information,Información del dispositivo de transacción,معلومات جهاز المعاملة
Payment Summary,Payment Summary,Resumen de pago,ملخص الدفع
Transaction Number,Transaction Number,Número de transacción,رقم التحويلة
Transaction Type,Transaction Type,tipo de transacción,نوع المعاملة
Payment Gateway,Payment Gateway,Pasarela,بوابة الدفع
Send Amount,Send Amount,Enviar un monto,أرسل المبلغ
Total Charge,Total Charge,Carga total,القيمة الاجمالية
Payable Amount,Payable Amount,Cantidad a pagar,مبلغ مستحق الدفع
Payment Status,Payment Status,Estado de pago,حالة السداد
Remark,Remark,Observación,ملاحظة
Are you sure to CONFIRM this transaction?,Are you sure to CONFIRM this transaction?,¿Estás seguro de confirmar esta transacción?,هل أنت متأكد من تأكيد هذه الصفقة؟
All Exchange Crypto Logs,All Exchange Crypto Logs,Todos los registros de cripto de intercambio,جميع سجلات تشفير التبادل
Confirm Exchange Crypto Logs,Confirm Exchange Crypto Logs,Confirmar los registros de cripto de intercambio,تأكيد سجلات تشفير التبادل
Exchange Crypto Log Details,Exchange Crypto Log Details,Detalles de registro de cripto de intercambio,تبادل تفاصيل سجل التشفير
Receiver Information,Receiver Information,información del receptor,معلومات استقبال
Pending Exchange Crypto Logs,Pending Exchange Crypto Logs,Pendiente de intercambio de registros criptográficos,في انتظار سجلات التشفير
Rejected Exchange Crypto Logs,Rejected Exchange Crypto Logs,Registros de cripto de intercambio rechazados,سجلات تشفير التبادل المرفوضة
All Sell Crypto Logs,All Sell Crypto Logs,Todos venden registros de cifrado,جميع بيع سجلات التشفير
Confirm Sell Crypto Logs,Confirm Sell Crypto Logs,Confirmar vender registros de cifrado,تأكيد بيع سجلات التشفير
Sell Crypto Log Details,Sell Crypto Log Details,Vender detalles del registro de cifrado,بيع تفاصيل سجل التشفير
Pending Sell Crypto Logs,Pending Sell Crypto Logs,Pendiente vender registros de cifrado,معلق بيع سجلات التشفير
Rejected Sell Crypto Logs,Rejected Sell Crypto Logs,Rechazados Vender registros de cifrado,تم رفض بيع سجلات التشفير
All Withdraw Crypto Logs,All Withdraw Crypto Logs,Todos los registros de cifrado retiran,كل سجلات السحب المشفرة
Confirm Withdraw Crypto Logs,Confirm Withdraw Crypto Logs,Confirmar retirar registros de cifrado,تأكيد سحب سجلات التشفير
Withdraw Crypto Log Details,Withdraw Crypto Log Details,Retirar detalles del registro de cifrado,سحب تفاصيل سجل التشفير
Wallet Code,Wallet Code,Código de billetera,رمز المحفظة
Pending Withdraw Crypto Logs,Pending Withdraw Crypto Logs,Pendiente retirar registros criptográficos,في انتظار سحب سجلات التشفير
Rejected Withdraw Crypto Logs,Rejected Withdraw Crypto Logs,Rechazos de retiro de criptografía rechazada,رفض سحب سجلات التشفير
Transaction Status updated successfully,Transaction Status updated successfully,Estado de transacción actualizado correctamente,تم تحديث حالة المعاملة بنجاح
Transaction Rejected successfully,Transaction Rejected successfully,Transacción rechazada con éxito,رفضت المعاملة بنجاح
Action,Action,Acción,فعل
Current Balance,Current Balance,Saldo actual,الرصيد الحالي
Active Tickets,Active Tickets,Boletos activos,تذاكر نشطة
User Overview,User Overview,Descripción general del usuario,نظرة عامة على المستخدم
Add/Subtract Balance,Add/Subtract Balance,Balance de suma/resta,إضافة/طرح التوازن
Login Logs,Login Logs,Iniciar sesión,سجلات تسجيل الدخول
Send Email,Send Email,Enviar correo electrónico,ارسل بريد الكتروني
Login as Member,Login as Member,Iniciar sesión como miembro,تسجيل الدخول كعضو
Email Logs,Email Logs,Registros de correo electrónico,سجلات البريد الإلكتروني
Last Login,Last Login,Último acceso,آخر تسجيل دخول
Information of User,Information of User,Información del usuario,معلومات المستخدم
2FA Verification,2FA Verification,Verificación de 2FA,2FA التحقق
Email Verification,Email Verification,verificacion de email,تأكيد بواسطة البريد الالكتروني
User Status,User Status,Estatus de usuario,حالة المستخدم
Banned,Banned,Prohibido,محظور
Verified,Verified,Verificado,تم التحقق
Select Type,Select Type,Seleccione tipo,اختر صنف
Balance Add,Balance Add,Balance Agregar,إضافة التوازن
Balance Subtract,Balance Subtract,Balance restante,توازن طرح
Select User Wallet,Select User Wallet,Seleccione la billetera del usuario,حدد محفظة المستخدم
User Wallet,User Wallet,Billetera del usuario,محفظة المستخدم
Mail successfully sended,Mail successfully sended,Correo enviado correctamente,تم إرسال البريد بنجاح
Email successfully sended,Email successfully sended,Correo electrónico enviado correctamente,أرسل البريد الإلكتروني بنجاح
Opps! User not exists,Opps! User not exists,¡Opps! El usuario no existe,أوس! المستخدم لا يوجد
User wallet not found!,User wallet not found!,¡Billetera de usuario no encontrada!,محفظة المستخدم لم يتم العثور عليها!
User do not have sufficient balance,User do not have sufficient balance,El usuario no tiene suficiente equilibrio,المستخدم ليس لديه توازن كاف
Transaction success,Transaction success,Éxito de transacciones,نجاح المعاملة
Full Name,Full Name,Nombre completo,الاسم الكامل
Phone Number,Phone Number,Número de teléfono,رقم التليفون
Close,Close,Cerca,يغلق
Send,Send,Enviar,يرسل
SL,SL,SLE,SL
MAC,MAC,MAC,ماك
Location,Location,Ubicación,موقع
Login at,Login at,Iniciar sesión en,تسجيل الدخول في
User Login Logs,User Login Logs,Registros de inicio de sesión de usuario,سجلات تسجيل الدخول المستخدم
User Email Logs,User Email Logs,Registros de correo electrónico de usuario,سجلات البريد الإلكتروني للمستخدم
Mail Sender(Method),Mail Sender(Method),Remitente de correo (método),مرسل البريد (الطريقة)
Select Users,Select Users,Seleccionar usuarios,حدد المستخدمين
Add Admin,Add Admin,Agregar administrador,إضافة المسؤول
Admin Profile Image,Admin Profile Image,Imagen de perfil de administración,صورة ملف تعريف المسؤول
Select Role,Select Role,Rol de selección,حدد الدور
Generate,Generate,Generar,يولد
Edit Admin,Edit Admin,Editar administrador,تحرير المسؤول
New admin created successfully!,New admin created successfully!,¡Nuevo administrador creado con éxito!,تم إنشاء مسؤول جديد بنجاح!
Failed to assign role.,Failed to assign role.,No se pudo asignar el rol.,فشل في تعيين الدور.
Admin information updated successfully!,Admin information updated successfully!,Información de administrador actualizada con éxito!,معلومات المسؤول تحديث بنجاح!
All Admin Roles,All Admin Roles,Todos los roles de administración,جميع أدوار المشرف
Role Name,Role Name,Nombre de rol,اسم الدور
Asign Admin,Asign Admin,Asign Admin,asign المشرف
Add New Role,Add New Role,Agregar un nuevo rol,أضف دورًا جديدًا
Edit Role,Edit Role,Rol de edición,تحرير الدور
Are you sure to delete this role?,Are you sure to delete this role?,¿Estás seguro de eliminar este papel?,هل أنت متأكد من حذف هذا الدور؟
Admin not found!,Admin not found!,Admin no encontrado!,المسؤول لم يتم العثور عليه!
Admin status updated successfully!,Admin status updated successfully!,Estado de administrador actualizado con éxito!,تم تحديث حالة المسؤول بنجاح!
Admin role created successfully!,Admin role created successfully!,¡Rol de administración creado con éxito!,تم إنشاء دور المسؤول بنجاح!
Opps! Target role not found!,Opps! Target role not found!,¡Opps! ¡Rol de objetivo no encontrado!,أوس! الدور المستهدف لم يتم العثور عليه!
Opps! Target not found!,Opps! Target not found!,¡Opps! ¡Objetivo no encontrado!,أوس! الهدف لم يتم العثور عليه!
Admin role updated successfully!,Admin role updated successfully!,¡Rol de administración actualizado con éxito!,تم تحديث دور المسؤول بنجاح!
Super admin role can\'t deletable.,Super admin role can\'t deletable.,El rol super administrador puede ser eliminable.,دور المشرف الفائق يمكن أن يكون قابلاً للحذف.
Target role not found!,Target role not found!,¡Rol de objetivo no encontrado!,الدور المستهدف لم يتم العثور عليه!
Admin role deleted successfully!,Admin role deleted successfully!,¡Rol de administrador eliminado con éxito!,تم حذف دور المسؤول بنجاح!
All Permissions,All Permissions,Todos los permisos,جميع الأذونات
Permission Name,Permission Name,Nombre de permiso,اسم إذن
Add New Permission,Add New Permission,Agregar nuevo permiso,أضف إذنًا جديدًا
Edit Permission,Edit Permission,Editar permiso,تحرير إذن
Permission created successfully!,Permission created successfully!,¡Permiso creado con éxito!,إذن تم إنشاؤه بنجاح!
Permission updated successfully!,Permission updated successfully!,¡Permiso actualizado con éxito!,تم تحديث إذن بنجاح!
Permission deleted successfully!,Permission deleted successfully!,¡Permiso eliminado con éxito!,تم حذف إذن بنجاح!
Role permission not found!,Role permission not found!,¡Permiso de rol no encontrado!,إذن الدور غير موجود!
Permission assign successfully!,Permission assign successfully!,Permiso asignar con éxito!,إذن تخصيص بنجاح!
Permission not found!,Permission not found!,¡Permiso no encontrado!,إذن لم يتم العثور عليه!
Admin deleted successfully!,Admin deleted successfully!,Admin eliminado con éxito!,تم حذف المسؤول بنجاح!
Site Base Color,Site Base Color,Color base del sitio,لون قاعدة الموقع
Site Name,Site Name,Nombre del sitio,اسم الموقع
Site Title,Site Title,Título del sitio,عنوان الموقع
Select Timezone,Select Timezone,Selecciona la zona horaria,اختر المجال الزمني
OTP Expiration,OTP Expiration,Vencimiento de OTP,انتهاء صلاحية OTP
Activation Settings,Activation Settings,Configuración de activación,إعدادات التنشيط
Secure Password,Secure Password,Contraseña segura,كلمة مرور تأمين
Agree Policy,Agree Policy,Política de acuerdo,توافق على السياسة
User Registration,User Registration,registro de usuario,تسجيل المستخدم
Force SSL,Force SSL,Forzar SSL,قوة SSL
Email Notification,Email Notification,Notificación de correo electrónico,إشعار البريد الإلكتروني
KYC Verification,KYC Verification,Verificación de KYC,التحقق من KYC
Activated,Activated,Activado,مفعل
Deactivated,Deactivated,Desactivado,إلغاء تنشيطه
The base color field is required.,The base color field is required.,Se requiere el campo de color base.,حقل اللون الأساسي مطلوب.
The web version field is required.,The web version field is required.,Se requiere el campo de la versión web.,حقل إصدار الويب مطلوب.
The site name field is required.,The site name field is required.,Se requiere el campo Nombre del sitio.,حقل اسم الموقع مطلوب.
The site title field is required.,The site title field is required.,Se requiere el campo de título del sitio.,حقل عنوان الموقع مطلوب.
The optp exp seconds field is required.,The optp exp seconds field is required.,Se requiere el campo OPTP EXP segundos.,مطلوب حقل OPTP Exp Seconds.
The timezone field is required.,The timezone field is required.,Se requiere el campo de la zona horaria.,مطلوب حقل المنطقة الزمنية.
Basic settings updated successfully!,Basic settings updated successfully!,Configuración básica actualizada con éxito!,الإعدادات الأساسية تحديث بنجاح!
Please setup KYC field first. Go to [Setup KYC] page from sidebar,Please setup KYC field first. Go to [Setup KYC] page from sidebar,Configure el campo KYC primero. Vaya a la página [Configurar KYC] desde la barra lateral,يرجى إعداد حقل KYC أولاً. انتقل إلى صفحة [Setup KYC] من الشريط الجانبي
You have to configure your system mail first.,You have to configure your system mail first.,Primero debe configurar el correo de su sistema.,يجب عليك تكوين بريد النظام الخاص بك أولاً.
Basic settings not found!,Basic settings not found!,Configuración básica no encontrada!,الإعدادات الأساسية غير موجودة!
Basic settings status updated successfully!,Basic settings status updated successfully!,Estado de configuración básica actualizada correctamente!,تم تحديث حالة الإعدادات الأساسية بنجاح!
Logo (Light Version),Logo (Light Version),Logotipo (versión ligera),شعار (إصدار الضوء)
Logo (Dark Version),Logo (Dark Version),Logotipo (versión oscura),شعار (نسخة مظلمة)
Favicon (Light Version),Favicon (Light Version),Favicon (versión ligera),Favicon (نسخة خفيفة)
Favicon (Dark Version),Favicon (Dark Version),Favicon (versión oscura),Favicon (نسخة مظلمة)
Basic setting not found! Please run database seeder,Basic setting not found! Please run database seeder,Configuración básica no encontrada! Ejecute un semiller de base de datos,الإعداد الأساسي لم يتم العثور عليه! الرجاء تشغيل قاعدة البيانات بذور
No changes to update.,No changes to update.,No hay cambios en la actualización.,لا توجد تغييرات للتحديث.
Image assets updated successfully!,Image assets updated successfully!,¡Activos de imagen actualizados con éxito!,أصول الصورة تحديث بنجاح!
Search Engine Optimization (SEO),Search Engine Optimization (SEO),Optimización de motores de búsqueda (SEO),تحسين محرك البحث (SEO)
Thumbnail Image,Thumbnail Image,Imagen en miniatura,صورة مصغرة
Social Title,Social Title,Título social,العنوان الاجتماعي
Social Description,Social Description,Descripción social,الوصف الاجتماعي
Tags,Tags,Etiquetas,العلامات
The title field is required.,The title field is required.,Se requiere el campo de título.,مطلوب حقل العنوان.
SEO information updated successfully!,SEO information updated successfully!,¡Información de SEO actualizada con éxito!,تم تحديث معلومات كبار المسئولين الاقتصاديين بنجاح!
Image,Image,Imagen,صورة
App Version,App Version,Version de aplicacion,نسخة التطبيق
The version field is required.,The version field is required.,Se requiere el campo de versión.,حقل الإصدار مطلوب.
Splash screen updated successfully!,Splash screen updated successfully!,¡Pantalla de salpicaduras actualizada con éxito!,تم تحديث شاشة دفقة بنجاح!
Android App URL,Android App URL,URL de la aplicación Android,Android App URL
iOS App URL,iOS App URL,URL de la aplicación iOS,IOS APP URL
The url title field is required.,The url title field is required.,Se requiere el campo de título de URL.,حقل عنوان عنوان URL مطلوب.
The android url field is required.,The android url field is required.,Se requiere el campo URL de Android.,مطلوب حقل url Android.
URL settings updated successfully!,URL settings updated successfully!,Configuración de URL actualizada con éxito!,تحديث إعدادات URL بنجاح!
Add New Screen,Add New Screen,Agregar nueva pantalla,أضف شاشة جديدة
Sub Title,Sub Title,Subtítulo,العنوان الفرعي
KYC Unverified,KYC Unverified,KYC no verificado,KYC غير التحقق
Edit KYC,Edit KYC,Editar kyc,تحرير KYC
KYC Profile,KYC Profile,Perfil de KYC,ملف KYC
Zip/Postal,Zip/Postal,Código postal,الرمز البريدي
Information of Logs,Information of Logs,Información de los registros,معلومات السجلات
File not found!,File not found!,¡Archivo no encontrado!,لم يتم العثور على الملف!
Proof Of Indentity,Proof Of Indentity,Prueba de sangría,إثبات البادئة
KYC Information,KYC Information,Información de KYC,معلومات KYC
Your KYC information is submited. Please wait for admin confirmation. When you are KYC verified you will show your submited information here.,Your KYC information is submited. Please wait for admin confirmation. When you are KYC verified you will show your submited information here.,"Se envía su información de KYC. Espere la confirmación del administrador. Cuando esté verificado KYC, mostrará su información enviada aquí.",معلومات KYC الخاصة بك هي وضعت. يرجى انتظار تأكيد المسؤول. عندما يتم التحقق من KYC ، ستعرض معلوماتك المأهولة هنا.
Your KYC information is verified,Your KYC information is verified,Su información de KYC está verificada,تم التحقق من معلومات KYC الخاصة بك
Your KYC information is rejected.,Your KYC information is rejected.,Su información de KYC es rechazada.,تم رفض معلومات KYC الخاصة بك.
Verify KYC,Verify KYC,Verificar KYC,تحقق من KYC
Edit Screen,Edit Screen,Pantalla de edición,تحرير الشاشة
The image field is required.,The image field is required.,Se requiere el campo de la imagen.,حقل الصورة مطلوب.
Onboard Screen Added Successfully!,Onboard Screen Added Successfully!,¡Pantalla a bordo agregada con éxito!,أضافت الشاشة على متن الطائرة بنجاح!
Onboard screen not found!,Onboard screen not found!,¡Pantalla a bordo no encontrada!,على متن الشاشة غير موجودة!
Onboard screen status updated successfully!,Onboard screen status updated successfully!,Estado de la pantalla a bordo actualizado correctamente!,تم تحديث حالة الشاشة على متن الطائرة بنجاح!
Onboard screen information updated successfully!,Onboard screen information updated successfully!,Información de pantalla a bordo actualizada correctamente!,تم تحديث معلومات الشاشة على متن الطائرة بنجاح!
Screen deleted successfully!,Screen deleted successfully!,¡Pantalla eliminada con éxito!,تم حذف الشاشة بنجاح!
There is no default language in your system. System will automatically select English as a default language.,There is no default language in your system. System will automatically select English as a default language.,No hay lenguaje predeterminado en su sistema. El sistema seleccionará automáticamente el inglés como idioma predeterminado.,لا توجد لغة افتراضية في نظامك. سيقوم النظام تلقائيًا بتحديد اللغة الإنجليزية كلغة افتراضية.
Add Language,Add Language,Agregar lenguaje,إضافة لغة
Language Manager,Language Manager,Administrador de idiomas,مدير اللغة
Selectable,Selectable,Seleccionable,يمكن اختياره
Import,Import,Importar,يستورد
Language Name,Language Name,Nombre del lenguaje,اسم اللغة
Language Code,Language Code,Código de lenguaje,رمز اللغة
Direction,Direction,Dirección,اتجاه
LTR,LTR,LTR,LTR
RTL,RTL,RTL,RTL
Language created successfully!,Language created successfully!,¡Lenguaje creado con éxito!,اللغة التي تم إنشاؤها بنجاح!
Edit Language,Edit Language,Editar lenguaje,تحرير اللغة
Language Information,Language Information,Información del idioma,معلومات اللغة
Language status updated successfully!,Language status updated successfully!,Estado del idioma actualizado con éxito!,تم تحديث حالة اللغة بنجاح!
Please deselect your default language first.,Please deselect your default language first.,"Por favor, anote su idioma predeterminado primero.",يرجى إلغاء تحديد لغتك الافتراضية أولاً.
Language deleted successfully!,Language deleted successfully!,Lenguaje eliminado con éxito!,تم حذف اللغة بنجاح!
Language updated successfully!,Language updated successfully!,¡Lenguaje actualizado con éxito!,تم تحديث اللغة بنجاح!
Opps! Language not found!,Opps! Language not found!,¡Opps! ¡Lenguaje no encontrado!,أوس! اللغة لم يتم العثور عليها!
File does not exists.,File does not exists.,El archivo no existe.,الملف لا يوجد.
Language Keywords of English,Language Keywords of English,Palabras clave del idioma del inglés,كلمات اللغة الرئيسية للغة الإنجليزية
Email Send Method,Email Send Method,Método de envío de correo electrónico,طريقة إرسال البريد الإلكتروني
Send Mail,Send Mail,Enviar correo,ارسل بريد
Host,Host,Anfitrión,يستضيف
Port,Port,Puerto,ميناء
Excryption,Excryption,Excryción,الإثارة
SSL,SSL,Ssl,SSL
TLS,TLS,TLS,TLS
Send Test Mail,Send Test Mail,Enviar correo de prueba,إرسال بريد الاختبار
Information updated successfully!,Information updated successfully!,Información actualizada con éxito!,تم تحديث المعلومات بنجاح!
Email send successfully!,Email send successfully!,¡Envíe el correo electrónico con éxito!,إرسال البريد الإلكتروني بنجاح!
The method field is required.,The method field is required.,Se requiere el campo de método.,حقل الطريقة مطلوب.
The host field is required.,The host field is required.,Se requiere el campo de host.,حقل المضيف مطلوب.
The port field is required.,The port field is required.,Se requiere el campo portuario.,حقل المنفذ مطلوب.
The encryption field is required.,The encryption field is required.,Se requiere el campo de cifrado.,حقل التشفير مطلوب.
The username field is required.,The username field is required.,Se requiere el campo de nombre de usuario.,حقل اسم المستخدم مطلوب.
Deactive,Deactive,Desactivo,إلهي
Setup KYC,Setup KYC,Configurar KYC,إعداد KYC
KYC Data Form,KYC Data Form,Formulario de datos de KYC,نموذج بيانات KYC
ex: 10,ex: 10,Ej: 10,على سبيل المثال: 10
"ex: jpg, png, pdf","ex: jpg, png, pdf","Ej: JPG, PNG, PDF",على سبيل المثال: JPG ، PNG ، PDF
ex: 6,ex: 6,Ej: 6,على سبيل المثال: 6
ex: 16,ex: 16,Ej: 16,على سبيل المثال: 16
Options,Options,Opción,خيارات
KYC status updated successfully!,KYC status updated successfully!,Estado de KYC actualizado con éxito!,تم تحديث حالة KYC بنجاح!
Button Image,Button Image,Imagen de botón,زر الصورة
Section Title,Section Title,Sección de título,عنوان القسم
Heading,Heading,Título,عنوان
For Separate Heading color use '|' sing to divide,For Separate Heading color use '|' sing to divide,Para el uso de color de encabezado separado '|' cantar para dividir,لاستخدام لون العنوان المنفصل '|' الغناء للتقسيم
